"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2016-04-09",0,FALSE,"718835811370737664",FALSE,NA,NA,NA,NA,NA,0,FALSE,"History_Sheeter","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","What was the number of shoe which throne on #Kejriwal, ODD OR EVEN? <ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #<U+0926><U+092E><U+0926><U+093E><U+0930>_<U+0915><U+0947><U+091C><U+0930><U+0940><U+0935><U+093E><U+0932>",FALSE
"2016-04-09",0,FALSE,"718835767368232961",TRUE,NA,NA,NA,NA,NA,4,FALSE,"ravii_soni","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @wh0mi_: <U+0905><U+092D><U+0940> #TaherShah <U+0915><U+0947> <U+0938><U+0926><U+092E><U+0947> <U+0938><U+0947> <U+0909><U+092C><U+0930><U+0947> <U+092D><U+0940> <U+0928><U+0939><U+0940> <U+0925><U+0947> <U+0914><U+0930> <U+0915><U+093F><U+0938><U+0940> <U+0928><U+0947> #Kejriwal <U+092A><U+0947> <U+091C><U+0942><U+0924><U+093E> <U+0926><U+0947> <U+092E><U+093E><U+0930><U+093E>! <U+0905><U+0917><U+0930> <U+0910><U+0938><U+093E> <U+0939><U+0940> <U+091A><U+0932><U+0924><U+093E> <U+0930><U+0939><U+093E> <U+0924><U+094B> #HappinessIndex <U+092E><U+0947><U+0902> <U+0926><U+0947><U+0936> <U+0905>…",FALSE
"2016-04-09",0,FALSE,"718835761370411008",TRUE,NA,NA,NA,NA,NA,32,FALSE,"richagaut","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DrGarekar: #Kejriwal sponsors event of shoe throwing as it results in sympathy Votes,that is his time tested winning patented formula",FALSE
"2016-04-09",0,FALSE,"718835691740725248",TRUE,NA,NA,NA,NA,NA,91,FALSE,"IshaniDas11","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @RaghvendraLive: <U+0915><U+0947><U+091C><U+0930><U+0940><U+0935><U+093E><U+0932> <U+092A><U+0930> <U+091C><U+0942><U+0924><U+093E> <U+092B><U+0947><U+0902><U+0915><U+0928><U+0947> <U+0935><U+093E><U+0932><U+0947> <U+0936><U+0916><U+094D><U+0938> <U+0928><U+0947> <U+0938><U+0940><U+0921><U+0940> <U+092D><U+0940> <U+092B><U+0947><U+0902><U+0915><U+0940><U+0964> CNG <U+0938><U+094D><U+091F><U+093F><U+0915><U+0930> <U+0918><U+094B><U+091F><U+093E><U+0932><U+0947> <U+0915><U+0947> <U+092E><U+093E><U+092E><U+0932><U+0947> <U+092E><U+0947><U+0902> <U+0915><U+093E><U+0930><U+094D><U+0930><U+0935><U+093E><U+0908> <U+0928> <U+0915><U+0930><U+0928><U+0947> <U+0938><U+0947> <U+0925><U+093E> <U+0928><U+093E><U+0930><U+093E><U+091C><U+093C><U+0964> #OddEv…",FALSE
"2016-04-09",0,FALSE,"718835452548091904",TRUE,NA,NA,NA,NA,NA,32,FALSE,"Vickypats66","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DrGarekar: #Kejriwal sponsors event of shoe throwing as it results in sympathy Votes,that is his time tested winning patented formula",FALSE
"2016-04-09",0,FALSE,"718835412710604801",TRUE,NA,NA,NA,NA,NA,2,FALSE,"dimwittedjoker","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @_SandySpeaks: @UltraMild1 @dimwittedjoker Secretary : sir  aap kya lenge ??
#Kejriwal : Kuch bhi chalega . Except Shoep <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>",FALSE
"2016-04-09",1,FALSE,"718835337120784384",FALSE,NA,NA,NA,NA,NA,0,FALSE,"prathibhatweets","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","If I had a nickel for every time #Kejriwal is attacked...  https://t.co/wAOD29WOy2",FALSE
"2016-04-09",0,FALSE,"718835315570421760",TRUE,NA,NA,NA,NA,NA,109,FALSE,"Deepak28401058","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Mitalishah121: <U+092C><U+0948><U+0920><U+0947> <U+092C><U+0948><U+0920><U+0947> <U+0915><U+094D><U+092F><U+093E> <U+0915><U+0930><U+0947>, <U+0928><U+0939><U+0940> #<U+0915><U+0930><U+0928><U+093E> <U+0939><U+0948> <U+0915><U+0941><U+091B> <U+0915><U+093E><U+092E>, <U+0936><U+0941><U+0930><U+0942> <U+0915><U+0930><U+094B> <U+0905><U+0902><U+0924><U+093E><U+0915><U+094D><U+0937><U+0930><U+0940>, <U+0932><U+0947><U+0915><U+0947> #<U+0930><U+093E><U+092F><U+0924><U+093E> <U+0915><U+093E> <U+0928><U+093E><U+092E>.
<U+091A><U+0932><U+094B> <U+092E> <U+0938><U+0947> <U+0917><U+093E><U+0913>.
#Kejriwal- #<U+092E><U+094B><U+0926><U+0940>... http…",FALSE
"2016-04-09",0,FALSE,"718835222893080578",TRUE,NA,NA,NA,NA,NA,193,FALSE,"vineetkumar0808","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","RT @malviyamit: Why is it that #Kejriwal routinely gets slapped and inked by his own party workers? Well, here is a small sample.. https://…",FALSE
"2016-04-09",1,FALSE,"718835029363699714",FALSE,NA,NA,NA,NA,NA,0,FALSE,"juventino1978","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Expect #Kejriwal to exploit this shoe-throwing incident to his melodramatic best",FALSE
"2016-04-09",0,FALSE,"718834955707670528",TRUE,NA,NA,NA,NA,NA,193,FALSE,"jdilipjain","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @malviyamit: Why is it that #Kejriwal routinely gets slapped and inked by his own party workers? Well, here is a small sample.. https://…",FALSE
"2016-04-09",0,FALSE,"718834923725926402",TRUE,NA,NA,NA,NA,NA,193,FALSE,"arun_kunwar","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @malviyamit: Why is it that #Kejriwal routinely gets slapped and inked by his own party workers? Well, here is a small sample.. https://…",FALSE
"2016-04-09",2,FALSE,"718834904872521730",FALSE,NA,NA,"718772526147502081","UltraMild1","3877003034",2,FALSE,"_SandySpeaks","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@UltraMild1 @dimwittedjoker Secretary : sir  aap kya lenge ??
#Kejriwal : Kuch bhi chalega . Except Shoep <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>",FALSE
"2016-04-09",0,FALSE,"718834819531149312",TRUE,NA,NA,NA,NA,NA,72,FALSE,"tofikia","<a href=""http://www.google.com"" rel=""nofollow"">tofikia</a>","RT @ITNlive: #Kejriwal <U+091C><U+0942><U+0924><U+093E><U+0915><U+093E><U+0902><U+0921>: #LG <U+0939><U+093E><U+0909><U+0938> <U+0915><U+0947> <U+092C><U+093E><U+0939><U+0930> <U+0917><U+0941><U+092A><U+094D><U+0924> <U+0924><U+0930><U+0940><U+0915><U+0947> <U+0938><U+0947> 4 <U+0932><U+094B><U+0917><U+094B><U+0902> <U+0928><U+0947> <U+0930><U+091A><U+0940> <U+0938><U+093E><U+091C><U+093F><U+0936> !  - https://t.co/aWVFIBOERA https://t.co/oQDsSbq1dv",FALSE
"2016-04-09",0,FALSE,"718834802577797121",TRUE,NA,NA,NA,NA,NA,32,FALSE,"KhushalThummar","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DrGarekar: #Kejriwal sponsors event of shoe throwing as it results in sympathy Votes,that is his time tested winning patented formula",FALSE
"2016-04-09",2,FALSE,"718834655001063424",FALSE,NA,NA,NA,NA,NA,0,FALSE,"shivsBHARAT","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Our #Kejriwal achieved march ending targets delayed by 9 days. Maaf kar do inko. #nautanki",FALSE
"2016-04-09",0,FALSE,"718834635267051520",TRUE,NA,NA,NA,NA,NA,20,FALSE,"pandeyanant99","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @iammanishpandey: <U+091C><U+0942><U+0924><U+093E> <U+092B><U+0947><U+0902><U+0915><U+093E>,, <U+0917><U+093F><U+0930><U+092B><U+094D><U+0924><U+093E><U+0930> <U+0939><U+0941><U+0906>,, <U+0915><U+0932> #Kejriwal <U+0909><U+0938><U+0947> <U+092E><U+093E><U+092B> <U+0915><U+0930><U+0947><U+0902><U+0917><U+0947>,, <U+092E><U+0939><U+0940><U+0928><U+094B><U+0902> <U+092C><U+093E><U+0926> <U+092F><U+0947> <U+0936><U+0916><U+094D><U+0938> #AAP <U+0915><U+093E> <U+0936><U+0915><U+094D><U+0930><U+093F><U+092F> <U+0914><U+0930> <U+0939><U+094B><U+0928><U+0939><U+093E><U+0930> <U+0915><U+093E><U+0930><U+094D><U+092F><U+0915><U+0930><U+094D><U+0924><U+093E> <U+0915><U+0947> <U+0930><U+0942>…",FALSE
